CustomerID,Age,Marital_Status,Education,Employment_Type,Suburb,City,Province,Location_Type,Customer_Tenure,Annual_Income,Current_Account,Savings_Account,Credit_Card,Personal_Loan,Home_Loan,Vehicle_Loan,Current_Account_Balance,Savings_Account_Balance,Credit_Card_Balance,Personal_Loan_Balance,Home_Loan_Balance,Vehicle_Loan_Balance,Current_Account_Closed_Date,Savings_Account_Closed_Date,Credit_Card_Closed_Date,Personal_Loan_Closed_Date,Home_Loan_Closed_Date,Vehicle_Loan_Closed_Date,Online_Banking_Registered,Mobile_App_Registered,USSD_Registered,Online_Banking_Txns,Mobile_App_Txns,USSD_Txns,Credit_Score,Flag_Product_Mismatch,Flag_Closed_With_Balance,Flag_No_Products,Num_Products,Num_Digital_Channels,Total_Digital_Txns,Num_Prev_Closures,Digitally_Dormant
1,18,Single,Matric,Unemployed,Waterfront,Cape Town,Western Cape,Urban,2.2,26881.16,True,False,True,False,False,False,474.01,0.0,2124.77,0.0,0.0,0.0,,,,,,,False,True,False,0.0,6.0,0.0,802.0,False,False,False,2,1,6.0,0,False
2,38,Single,Diploma/Certificate,Unemployed,Walmer,Gqeberha,Eastern Cape,Suburban,1.9,9163.23,True,False,True,False,False,False,132.36,0.0,522.21,0.0,0.0,0.0,,,,,,,True,True,False,0.0,2.0,0.0,811.0,False,False,False,2,2,2.0,0,False
3,30,Single,Bachelor's,Full-time employed,Sandton,Johannesburg,Gauteng,Urban,1.9,280269.1,True,True,True,False,True,False,3802.93,18792.28,21679.26,0.0,1161196.0,0.0,,,,,,,True,True,False,15.0,3.0,0.0,604.0,False,False,False,4,2,18.0,0,False
4,19,Single,Less than matric,Full-time employed,Seshego,Polokwane,Limpopo,Township,1.9,200060.71,True,False,True,False,True,False,1786.77,0.0,10252.21,0.0,899919.75,0.0,,,,,,,True,False,True,0.0,0.0,4.0,648.0,False,False,False,3,2,4.0,0,False
5,56,Married,Matric,Unemployed,Galeshewe,Kimberley,Northern Cape,Township,1.8,16339.93,False,False,False,True,False,False,0.0,0.0,0.0,86250.12,0.0,0.0,,,,,,,False,True,False,0.0,2.0,0.0,321.0,False,False,False,1,1,2.0,0,False
6,32,Single,Bachelor's,Full-time employed,Khayelitsha,Cape Town,Western Cape,Township,3.6,176739.94,True,False,False,False,True,False,2208.47,0.0,0.0,0.0,1049778.06,0.0,,,,,,,False,False,True,0.0,0.0,6.0,305.0,False,False,False,2,1,6.0,0,False
7,28,Single,Less than matric,Student,Galeshewe,Kimberley,Northern Cape,Township,4.4,41568.2,True,True,False,True,False,False,816.15,4409.53,0.0,170484.34,0.0,482.43,,,,,,,True,True,False,4.0,4.0,0.0,850.0,True,False,False,3,2,8.0,0,False
8,52,Divorced,Matric,Full-time employed,Centurion,Tshwane,Gauteng,Suburban,2.7,192446.52,True,True,True,True,True,False,3247.88,19114.49,14059.26,44430.57,318237.89,0.0,,,,,,,True,True,True,7.0,7.0,6.0,720.0,False,False,False,5,3,20.0,0,False
9,21,Single,Bachelor's,Full-time employed,Rosebank,Johannesburg,Gauteng,Urban,3.5,92397.9,True,False,True,False,False,True,1968.45,0.0,15202.07,0.0,0.0,89275.31,,,,,,,True,True,False,11.0,20.0,0.0,645.0,False,False,False,3,2,31.0,0,False
10,21,Divorced,Matric,Self-employed,Hillcrest,Durban,KwaZulu-Natal,Suburban,1.5,139311.82,True,False,False,False,False,False,2450.49,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,False,1.0,6.0,0.0,627.0,False,False,False,1,2,7.0,0,False
