CustomerID,Age,Marital_Status,Education,Employment_Type,Suburb,City,Province,Location_Type,Customer_Tenure,Annual_Income,Current_Account,Savings_Account,Credit_Card,Personal_Loan,Home_Loan,Vehicle_Loan,Current_Account_Balance,Savings_Account_Balance,Credit_Card_Balance,Personal_Loan_Balance,Home_Loan_Balance,Vehicle_Loan_Balance,Current_Account_Closed_Date,Savings_Account_Closed_Date,Credit_Card_Closed_Date,Personal_Loan_Closed_Date,Home_Loan_Closed_Date,Vehicle_Loan_Closed_Date,Online_Banking_Registered,Mobile_App_Registered,USSD_Registered,Online_Banking_Txns,Mobile_App_Txns,USSD_Txns,Credit_Score
1,18,Single,Matric,Unemployed,Waterfront,Cape Town,Western Cape,Urban,2.2,26881.16,True,False,True,False,False,False,474.01,,2124.77,,,,,,,,,,False,True,False,,6.0,,802.0
2,38,Single,Diploma/Certificate,Unemployed,Walmer,Gqeberha,Eastern Cape,Suburban,1.9,9163.23,True,False,True,False,False,False,132.36,,522.21,,,,,,,,,,True,True,False,0.0,2.0,,811.0
3,30,,Bachelor's,Full-time employed,Sandton,Johannesburg,Gauteng,Urban,1.9,280269.1,True,True,True,False,True,False,3802.93,18792.28,21679.26,,1161196.0,,,,,,,,True,True,False,15.0,3.0,,604.0
4,19,Single,Less than matric,Full-time employed,Seshego,Polokwane,Limpopo,Township,1.9,,True,False,True,False,True,False,1786.77,,10252.21,,899919.75,,,,,,,,True,False,False,0.0,,4.0,648.0
5,56,Married,Matric,Unemployed,Galeshewe,Kimberley,Northern Cape,Township,1.8,16339.93,False,False,False,True,False,False,,,,86250.12,,,,,,,,,False,True,False,,2.0,,321.0
6,32,Single,Bachelor's,Full-time employed,Khayelitsha,Cape Town,Western Cape,Township,3.6,176739.94,True,False,False,False,True,False,2208.47,,,,1049778.06,,,,,,,,False,False,True,,,6.0,305.0
7,28,Single,Less than matric,Student,Galeshewe,Kimberley,Northern Cape,Township,4.4,41568.2,True,True,False,True,False,False,816.15,4409.53,,170484.34,,482.43,,,,,,,True,True,False,4.0,4.0,,850.0
8,52,Divorced,Matric,Full-time employed,Centurion,Tshwane,Gauteng,Suburban,2.7,192446.52,True,True,True,True,True,False,3247.88,19114.49,14059.26,44430.57,318237.89,,,,,,,,True,True,True,7.0,7.0,6.0,720.0
9,21,Single,Bachelor's,Full-time employed,Rosebank,Johannesburg,Gauteng,Urban,3.5,92397.9,True,False,True,False,False,True,1968.45,,15202.07,,,89275.31,,,,,,,True,True,False,11.0,20.0,,645.0
10,21,Divorced,Matric,Self-employed,Hillcrest,Durban,KwaZulu-Natal,Suburban,1.5,139311.82,True,False,False,False,False,False,2450.49,,,,,,,,,,,,True,True,False,1.0,6.0,,627.0
